order_id,customer_id,order_date,order_status,currency,total_amount,created_at,updated_at
ORD0000138,CUST00100,2026-05-05,completed,EUR,1751.63,2026-05-05T03:46:13,2026-05-05T03:46:13
ORD0000139,CUST00130,2026-05-05,cancelled,USD,2876.61,2026-05-05T11:43:04,2026-05-05T11:43:04
ORD0000140,CUST00178,2026-05-05,refunded,USD,2367.47,2026-05-05T22:10:22,2026-05-05T22:10:22
ORD0000141,CUST00076,2026-05-05,cancelled,USD,851.17,2026-05-05T12:28:59,2026-05-05T12:28:59
ORD0000142,CUST00155,2026-05-05,completed,USD,1990.49,2026-05-05T15:01:39,2026-05-05T15:01:39
ORD0000143,CUST00180,2026-05-05,cancelled,EUR,84.02,2026-05-05T10:52:59,2026-05-05T10:52:59
ORD0000144,CUST00162,2026-05-05,completed,USD,3552.94,2026-05-05T20:09:19,2026-05-05T20:09:19
ORD0000145,CUST00176,2026-05-05,completed,USD,3250.51,2026-05-05T10:34:46,2026-05-05T10:34:46
ORD0000146,CUST00046,2026-05-05,completed,USD,5143.76,2026-05-05T23:40:08,2026-05-05T23:40:08
ORD0000147,CUST00182,2026-05-05,completed,USD,1461.9,2026-05-05T11:44:15,2026-05-05T11:44:15
ORD0000148,CUST00150,2026-05-05,completed,USD,4444.97,2026-05-05T17:29:23,2026-05-05T17:29:23
ORD0000149,CUST00173,2026-05-05,completed,USD,1345.01,2026-05-05T15:11:59,2026-05-05T15:11:59
ORD0000150,CUST00109,2026-05-05,cancelled,EUR,2697.28,2026-05-05T10:24:37,2026-05-05T10:24:37
ORD0000151,CUST00098,2026-05-05,refunded,USD,1242.37,2026-05-05T00:55:12,2026-05-05T00:55:12
ORD0000152,CUST00069,2026-05-05,completed,USD,42.88,2026-05-05T07:16:41,2026-05-05T07:16:41
ORD0000153,CUST00175,2026-05-05,cancelled,USD,803.26,2026-05-05T10:26:07,2026-05-05T10:26:07
ORD0000154,CUST00053,2026-05-05,completed,EUR,379.02,2026-05-05T10:44:44,2026-05-05T10:44:44
ORD0000155,CUST00027,2026-05-05,cancelled,USD,1772.78,2026-05-05T16:28:42,2026-05-05T16:28:42
ORD0000156,CUST00058,2026-05-05,completed,USD,1304.34,2026-05-05T20:27:27,2026-05-05T20:27:27
ORD0000157,CUST00131,2026-05-05,cancelled,USD,1925.05,2026-05-05T08:39:02,2026-05-05T08:39:02
ORD0000158,CUST00178,2026-05-05,cancelled,EUR,2446.96,2026-05-05T10:28:21,2026-05-05T10:28:21
ORD0000159,CUST00107,2026-05-05,cancelled,GBP,3299.79,2026-05-05T14:06:37,2026-05-05T14:06:37
ORD0000160,CUST00142,2026-05-05,pending,GBP,1548.91,2026-05-05T11:23:00,2026-05-05T11:23:00
ORD0000161,CUST00159,2026-05-05,completed,EUR,2108.59,2026-05-05T07:23:39,2026-05-05T07:23:39
ORD0000162,CUST00058,2026-05-05,refunded,EUR,1379.54,2026-05-05T16:07:53,2026-05-05T16:07:53
ORD0000163,CUST00095,2026-05-05,pending,EUR,2592.35,2026-05-05T23:34:46,2026-05-05T23:34:46
ORD0000164,CUST00051,2026-05-05,cancelled,USD,1588.75,2026-05-05T21:58:07,2026-05-05T21:58:07
ORD0000165,CUST00115,2026-05-05,cancelled,GBP,3964.31,2026-05-05T10:42:38,2026-05-05T10:42:38
ORD0000166,CUST00045,2026-05-05,completed,USD,2979.32,2026-05-05T06:48:27,2026-05-05T06:48:27
ORD0000167,CUST00110,2026-05-05,cancelled,USD,943.27,2026-05-05T01:28:46,2026-05-05T01:28:46
ORD0000168,CUST00150,2026-05-05,completed,USD,42.23,2026-05-05T05:51:33,2026-05-05T05:51:33
ORD0000169,CUST00182,2026-05-05,refunded,USD,2368.48,2026-05-05T16:58:42,2026-05-05T16:58:42
ORD0000170,CUST00153,2026-05-05,pending,USD,4112.94,2026-05-05T11:44:47,2026-05-05T11:44:47
ORD0000171,CUST00170,2026-05-05,completed,GBP,386.79,2026-05-05T22:24:49,2026-05-05T22:24:49
ORD0000172,CUST00092,2026-05-05,completed,EUR,152.58,2026-05-05T20:01:50,2026-05-05T20:01:50
ORD0000173,CUST00057,2026-05-05,completed,EUR,1776.33,2026-05-05T19:07:44,2026-05-05T19:07:44
ORD0000174,CUST00041,2026-05-05,pending,USD,4278.27,2026-05-05T18:23:29,2026-05-05T18:23:29
ORD0000175,CUST00090,2026-05-05,completed,USD,3924.39,2026-05-05T03:20:51,2026-05-05T03:20:51
