payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000080,ORD0000089,credit_card,refunded,132.17,2026-05-04T20:59:00
PAY00000081,ORD0000090,paypal,paid,2288.17,2026-05-04T16:54:00
PAY00000082,ORD0000091,cash_on_delivery,paid,365.36,2026-05-04T15:55:00
PAY00000083,ORD0000092,paypal,refunded,576.5,2026-05-04T02:48:00
PAY00000084,ORD0000094,cash_on_delivery,paid,3696.12,2026-05-04T10:15:00
PAY00000085,ORD0000095,bank_transfer,refunded,520.41,2026-05-04T08:03:00
PAY00000086,ORD0000096,gift_card,paid,3349.87,2026-05-04T07:35:00
PAY00000087,ORD0000097,cash_on_delivery,refunded,835.67,2026-05-04T12:52:00
PAY00000088,ORD0000099,paypal,paid,3703.09,2026-05-04T02:29:00
PAY00000089,ORD0000100,cash_on_delivery,paid,669.52,2026-05-04T18:28:00
PAY00000090,ORD0000101,credit_card,refunded,1706.83,2026-05-04T15:28:00
PAY00000091,ORD0000103,bank_transfer,paid,2800.66,2026-05-04T03:31:00
PAY00000092,ORD0000104,credit_card,refunded,705.13,2026-05-04T03:25:00
PAY00000093,ORD0000105,cash_on_delivery,paid,2128.37,2026-05-04T01:35:00
PAY00000094,ORD0000106,gift_card,refunded,781.88,2026-05-04T00:52:00
PAY00000095,ORD0000107,credit_card,refunded,1594.14,2026-05-04T19:39:00
PAY00000096,ORD0000108,bank_transfer,refunded,1130.09,2026-05-04T16:35:00
PAY00000097,ORD0000109,paypal,paid,2829.71,2026-05-04T20:42:00
PAY00000098,ORD0000110,cash_on_delivery,refunded,2697.16,2026-05-04T10:23:00
PAY00000099,ORD0000111,credit_card,paid,1674.46,2026-05-04T07:54:00
PAY00000100,ORD0000112,cash_on_delivery,paid,4583.16,2026-05-04T10:35:00
PAY00000101,ORD0000113,gift_card,paid,860.6,2026-05-04T19:30:00
PAY00000102,ORD0000114,bank_transfer,paid,1202.54,2026-05-04T22:28:00
PAY00000103,ORD0000116,credit_card,paid,2852.15,2026-05-04T03:48:00
PAY00000104,ORD0000117,paypal,paid,1158.26,2026-05-04T00:21:00
PAY00000105,ORD0000118,bank_transfer,paid,3517.83,2026-05-04T20:51:00
PAY00000106,ORD0000119,bank_transfer,paid,1085.7,2026-05-04T17:33:00
PAY00000107,ORD0000120,bank_transfer,refunded,1745.96,2026-05-04T22:06:00
PAY00000108,ORD0000121,credit_card,paid,2670.02,2026-05-04T05:31:00
PAY00000109,ORD0000122,paypal,paid,1753.02,2026-05-04T22:47:00
PAY00000110,ORD0000123,cash_on_delivery,paid,471.71,2026-05-04T03:16:00
PAY00000111,ORD0000124,gift_card,paid,2738.18,2026-05-04T06:12:00
PAY00000112,ORD0000127,credit_card,paid,5355.77,2026-05-04T12:13:00
PAY00000113,ORD0000128,cash_on_delivery,paid,6422.53,2026-05-04T06:45:00
PAY00000114,ORD0000129,bank_transfer,paid,582.1,2026-05-04T03:48:00
PAY00000115,ORD0000130,cash_on_delivery,paid,1760.18,2026-05-04T01:59:00
PAY00000116,ORD0000131,gift_card,paid,1019.41,2026-05-04T03:49:00
PAY00000117,ORD0000132,cash_on_delivery,refunded,565.09,2026-05-04T14:42:00
PAY00000118,ORD0000133,gift_card,refunded,3626.04,2026-05-04T16:08:00
PAY00000119,ORD0000134,cash_on_delivery,refunded,2480.71,2026-05-04T00:33:00
PAY00000120,ORD0000135,credit_card,paid,334.1,2026-05-04T17:59:00
PAY00000121,ORD0000136,cash_on_delivery,paid,568.3,2026-05-04T18:30:00
PAY00000122,ORD0000137,gift_card,refunded,3779.49,2026-05-04T05:44:00
