shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000057,ORD0000069,USPS,overnight,6.72,2026-05-03T14:00:00,2026-05-04T21:00:00,delivered
SHIP0000058,ORD0000070,FedEx,overnight,7.51,2026-05-03T11:00:00,2026-05-04T16:00:00,delivered
SHIP0000059,ORD0000071,Local Courier,standard,26.37,2026-05-03T02:00:00,2026-05-09T05:00:00,delivered
SHIP0000060,ORD0000072,Local Courier,overnight,20.63,2026-05-03T15:00:00,2026-05-04T22:00:00,delivered
SHIP0000061,ORD0000074,DHL,overnight,3.83,2026-05-03T09:00:00,2026-05-04T13:00:00,delivered
SHIP0000062,ORD0000077,UPS,standard,24.08,2026-05-03T20:00:00,,in_transit
SHIP0000063,ORD0000078,UPS,overnight,25.23,2026-05-03T13:00:00,2026-05-04T20:00:00,delivered
SHIP0000064,ORD0000080,USPS,standard,22.87,2026-05-03T22:00:00,2026-05-07T22:00:00,delivered
SHIP0000065,ORD0000081,UPS,standard,14.85,2026-05-03T05:00:00,2026-05-07T10:00:00,delivered
SHIP0000066,ORD0000082,Local Courier,overnight,14.56,2026-05-03T21:00:00,2026-05-05T00:00:00,delivered
SHIP0000067,ORD0000083,Local Courier,express,17.37,2026-05-03T21:00:00,2026-05-05T02:00:00,delivered
SHIP0000068,ORD0000084,UPS,express,18.46,2026-05-03T18:00:00,2026-05-05T00:00:00,delivered
SHIP0000069,ORD0000088,UPS,overnight,6.43,2026-05-03T06:00:00,2026-05-04T11:00:00,delivered
