order_id,customer_id,order_date,order_status,currency,total_amount,created_at,updated_at
ORD0000069,CUST00074,2026-05-10,completed,EUR,6488.28,2026-05-10T19:30:20,2026-05-10T19:30:20
ORD0000070,CUST00046,2026-05-10,completed,EUR,695.57,2026-05-10T15:40:36,2026-05-10T15:40:36
ORD0000071,CUST00062,2026-05-10,completed,USD,2619.11,2026-05-10T05:25:16,2026-05-10T05:25:16
ORD0000072,CUST00069,2026-05-10,completed,USD,4351.56,2026-05-10T12:54:17,2026-05-10T12:54:17
ORD0000073,CUST00118,2026-05-10,cancelled,USD,3508.85,2026-05-10T14:46:58,2026-05-10T14:46:58
ORD0000074,CUST00077,2026-05-10,completed,GBP,2736.27,2026-05-10T08:13:23,2026-05-10T08:13:23
ORD0000075,CUST00167,2026-05-10,cancelled,EUR,1402.75,2026-05-10T23:48:06,2026-05-10T23:48:06
ORD0000076,CUST00097,2026-05-10,cancelled,USD,2597.23,2026-05-10T13:48:30,2026-05-10T13:48:30
ORD0000077,CUST00180,2026-05-10,completed,USD,727.32,2026-05-10T00:20:38,2026-05-10T00:20:38
ORD0000078,CUST00166,2026-05-10,completed,USD,2284.71,2026-05-10T15:47:53,2026-05-10T15:47:53
ORD0000079,CUST00136,2026-05-10,cancelled,USD,1359.07,2026-05-10T03:28:19,2026-05-10T03:28:19
ORD0000080,CUST00122,2026-05-10,pending,USD,354.07,2026-05-10T20:38:09,2026-05-10T20:38:09
ORD0000081,CUST00140,2026-05-10,completed,GBP,2222.85,2026-05-10T10:12:29,2026-05-10T10:12:29
ORD0000082,CUST00005,2026-05-10,completed,USD,1116.37,2026-05-10T11:27:00,2026-05-10T11:27:00
ORD0000083,CUST00020,2026-05-10,pending,USD,2217.39,2026-05-10T14:30:05,2026-05-10T14:30:05
ORD0000084,CUST00100,2026-05-10,completed,USD,2784.32,2026-05-10T20:37:57,2026-05-10T20:37:57
ORD0000085,CUST00194,2026-05-10,cancelled,USD,41.14,2026-05-10T13:58:31,2026-05-10T13:58:31
ORD0000086,CUST00129,2026-05-10,cancelled,EUR,3993.69,2026-05-10T02:51:19,2026-05-10T02:51:19
ORD0000087,CUST00112,2026-05-10,cancelled,USD,2977.9,2026-05-10T03:33:23,2026-05-10T03:33:23
ORD0000088,CUST00197,2026-05-10,completed,USD,1435.42,2026-05-10T22:02:00,2026-05-10T22:02:00
