shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000034,ORD0000038,Local Courier,express,5.46,2026-05-09T18:00:00,,pending
SHIP0000035,ORD0000039,USPS,overnight,4.56,2026-05-09T16:00:00,2026-05-10T16:00:00,delivered
SHIP0000036,ORD0000040,DHL,overnight,8.88,2026-05-09T04:00:00,2026-05-10T09:00:00,delivered
SHIP0000037,ORD0000041,Local Courier,standard,28.23,2026-05-09T04:00:00,2026-05-15T08:00:00,delivered
SHIP0000038,ORD0000042,FedEx,overnight,29.41,2026-05-09T22:00:00,2026-05-11T04:00:00,delivered
SHIP0000039,ORD0000043,USPS,express,5.17,2026-05-09T23:00:00,,pending
SHIP0000040,ORD0000045,Local Courier,standard,22.65,2026-05-09T09:00:00,2026-05-12T13:00:00,delivered
SHIP0000041,ORD0000046,Local Courier,express,17.36,2026-05-09T09:00:00,2026-05-11T14:00:00,delivered
SHIP0000042,ORD0000050,FedEx,overnight,23.67,2026-05-09T03:00:00,2026-05-10T03:00:00,delivered
SHIP0000043,ORD0000051,DHL,standard,19.04,2026-05-09T16:00:00,2026-05-16T16:00:00,delivered
SHIP0000044,ORD0000052,DHL,express,14.85,2026-05-09T19:00:00,2026-05-10T21:00:00,delivered
SHIP0000045,ORD0000053,UPS,standard,25.03,2026-05-09T20:00:00,2026-05-15T01:00:00,delivered
SHIP0000046,ORD0000054,FedEx,overnight,17.07,2026-05-09T15:00:00,2026-05-10T15:00:00,delivered
SHIP0000047,ORD0000056,Local Courier,overnight,27.61,2026-05-09T22:00:00,,pending
SHIP0000048,ORD0000057,USPS,overnight,11.61,2026-05-09T15:00:00,2026-05-10T19:00:00,delivered
SHIP0000049,ORD0000058,Local Courier,express,9.51,2026-05-09T09:00:00,2026-05-12T11:00:00,delivered
SHIP0000050,ORD0000059,DHL,overnight,14.14,2026-05-09T15:00:00,2026-05-10T17:00:00,delivered
SHIP0000051,ORD0000060,UPS,standard,11.92,2026-05-09T04:00:00,2026-05-15T05:00:00,delivered
SHIP0000052,ORD0000061,FedEx,standard,10.25,2026-05-09T23:00:00,2026-05-16T23:00:00,delivered
SHIP0000053,ORD0000065,FedEx,overnight,22.56,2026-05-09T19:00:00,2026-05-10T22:00:00,delivered
SHIP0000054,ORD0000066,UPS,express,28.84,2026-05-09T02:00:00,2026-05-10T03:00:00,delivered
SHIP0000055,ORD0000067,USPS,standard,21.78,2026-05-10T00:00:00,2026-05-14T03:00:00,delivered
SHIP0000056,ORD0000068,UPS,express,15.59,2026-05-09T22:00:00,2026-05-12T02:00:00,delivered
